userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language
QoQHFrglCkmMv3AzIBNnOr1PukgBkuNnISGEUADJ6a8=,QoQHFrglCkmMv3AzIBNnOr1PukgBkuNnISGEUADJ6a8=,QoQHFrglCkmMv3AzIBNnOr1PukgBkuNnISGEUADJ6a8=,,,,25,55,2020-01-08,en
wj0o1jElfOBWjC3g8aIS4Df3z387ZPe4lmEqcPZy8zY=,wj0o1jElfOBWjC3g8aIS4Df3z387ZPe4lmEqcPZy8zY=,wj0o1jElfOBWjC3g8aIS4Df3z387ZPe4lmEqcPZy8zY=,,,,0,7,2020-01-14,en
0Jria5jYTQrrUBKYvaqXgyvWIW9wpE0fZ8n+wDBCe5k=,0Jria5jYTQrrUBKYvaqXgyvWIW9wpE0fZ8n+wDBCe5k=,0Jria5jYTQrrUBKYvaqXgyvWIW9wpE0fZ8n+wDBCe5k=,,KK,,0,16,2020-01-31,en
y1CO+KBZsMiNKDkSPKL2WE3YnmbLvlP43NbXIXipiTU=,y1CO+KBZsMiNKDkSPKL2WE3YnmbLvlP43NbXIXipiTU=,y1CO+KBZsMiNKDkSPKL2WE3YnmbLvlP43NbXIXipiTU=,,,,27,73,2020-01-08,en
AGWF8WdIpNo5WB3xNBUciNJOp65TgwEbO1NiVvuysk=,AGWF8WdIpNo5WB3xNBUciNJOp65TgwEbO1NiVvuysk=,AGWF8WdIpNo5WB3xNBUciNJOp65TgwEbO1NiVvuysk=,,,,0,6,2020-01-13,th
YqjcfhDmrBj+bXi2Uhi5RYeEB9L8FY6aLoKPKjqg=,YqjcfhDmrBj+bXi2Uhi5RYeEB9L8FY6aLoKPKjqg=,YqjcfhDmrBj+bXi2Uhi5RYeEB9L8FY6aLoKPKjqg=,,รีบทำเสียก่อน จะสาย รอคิดได้ก็แก่ตายละ,,13,104,2019-12-06,th
y7FapQRVE28Qruq6Q3+NLYWDi1RUptNhRk1eCGn7E5c=,y7FapQRVE28Qruq6Q3+NLYWDi1RUptNhRk1eCGn7E5c=,y7FapQRVE28Qruq6Q3+NLYWDi1RUptNhRk1eCGn7E5c=,,,,31,59,2020-01-09,th
Ozh9PMVSQS+4J0FMak1IN+9FloemqTdV9KEYb590DA=,Ozh9PMVSQS+4J0FMak1IN+9FloemqTdV9KEYb590DA=,Ozh9PMVSQS+4J0FMak1IN+9FloemqTdV9KEYb590DA=,,ในบางครั้ง... เราอาจจะได้เจอกันในเฉพาะความฝัน... ได้อยู่ใกล้กัน... ในที่สุดก็ในจินตนาการ...,,0,12,2019-12-24,en
ur+4xmELZMCISC6rXfqjSgyw+mfiZUv6gIPjtmMqyyU=,ur+4xmELZMCISC6rXfqjSgyw+mfiZUv6gIPjtmMqyyU=,ur+4xmELZMCISC6rXfqjSgyw+mfiZUv6gIPjtmMqyyU=,,,,1,52,2019-12-06,en
hfg2zB3w3Ms2yTAnnRWD3XtVmgsIhmP+FKfELGctzU=,hfg2zB3w3Ms2yTAnnRWD3XtVmgsIhmP+FKfELGctzU=,hfg2zB3w3Ms2yTAnnRWD3XtVmgsIhmP+FKfELGctzU=,,ก็ไม่มีรัยมากนะ,,0,3,2019-11-05,th
6wLQAIpRMO43iu3DnLkRvrldsGDypdTww4ZZksYqsgA=,6wLQAIpRMO43iu3DnLkRvrldsGDypdTww4ZZksYqsgA=,6wLQAIpRMO43iu3DnLkRvrldsGDypdTww4ZZksYqsgA=,,,,0,33,2019-09-08,th
x5E27T3f3On2OuFnsq3MlWXMUf0D7pCzruxVK7RDBs=,x5E27T3f3On2OuFnsq3MlWXMUf0D7pCzruxVK7RDBs=,x5E27T3f3On2OuFnsq3MlWXMUf0D7pCzruxVK7RDBs=,,,,0,16,2020-01-03,th
jy45mVF5TyWoDmQSyEADONe1jlVBKByb3QZeEMx1Vk=,jy45mVF5TyWoDmQSyEADONe1jlVBKByb3QZeEMx1Vk=,jy45mVF5TyWoDmQSyEADONe1jlVBKByb3QZeEMx1Vk=,,,,1,44,2020-01-09,th
ebff9fIhXlZRGMo5i1aRHqi046xUmXu7U5tP83Klo=,ebff9fIhXlZRGMo5i1aRHqi046xUmXu7U5tP83Klo=,ebff9fIhXlZRGMo5i1aRHqi046xUmXu7U5tP83Klo=,,,,1,20,2020-01-03,th
pSwaaleHTlTdtbyu8gsXpE0sS2fl40yLyahYtm7PdY=,pSwaaleHTlTdtbyu8gsXpE0sS2fl40yLyahYtm7PdY=,pSwaaleHTlTdtbyu8gsXpE0sS2fl40yLyahYtm7PdY=,,,,2,17,2019-12-06,en
XyUoGpSO5J5FFKYGlzIBXbrz1+YorbWL3mWmuio5TyE=,XyUoGpSO5J5FFKYGlzIBXbrz1+YorbWL3mWmuio5TyE=,XyUoGpSO5J5FFKYGlzIBXbrz1+YorbWL3mWmuio5TyE=,,,,0,1,2019-12-08,en
rajaEA97lG+2ze2pAzmtGRs4sxUmX47bkzAdBw+ymjU=,rajaEA97lG+2ze2pAzmtGRs4sxUmX47bkzAdBw+ymjU=,rajaEA97lG+2ze2pAzmtGRs4sxUmX47bkzAdBw+ymjU=,,,,0,3,2020-01-13,en
nX49rIzo3XyLnzvnGk0VVvLgb3UGlxnx94ByB++tnk=,nX49rIzo3XyLnzvnGk0VVvLgb3UGlxnx94ByB++tnk=,nX49rIzo3XyLnzvnGk0VVvLgb3UGlxnx94ByB++tnk=,,ชอบอะไรแปลกๆ,,9,131,2020-01-29,th
8crTeO0XjreawKU5icKZVpKyaGdB4vo9LcprMCo3XQc=,8crTeO0XjreawKU5icKZVpKyaGdB4vo9LcprMCo3XQc=,8crTeO0XjreawKU5icKZVpKyaGdB4vo9LcprMCo3XQc=,,sosad,,1,67,2019-12-06,en
QbEzNEAkwECStZdgS8Aie9v+fdJ9rjfi+lWDk9hEkiA=,QbEzNEAkwECStZdgS8Aie9v+fdJ9rjfi+lWDk9hEkiA=,QbEzNEAkwECStZdgS8Aie9v+fdJ9rjfi+lWDk9hEkiA=,,เจอกันใหม่,,0,5,2020-01-13,en
1HEhoSXqO1HoQZBQkhRBRxR440CWboFXe2XUymn42G0=,1HEhoSXqO1HoQZBQkhRBRxR440CWboFXe2XUymn42G0=,1HEhoSXqO1HoQZBQkhRBRxR440CWboFXe2XUymn42G0=,,ข่าวสาร,,0,9,2020-01-14,en
YFcDBsztBazVnTEU+BvY+DWWgryWwG0jAxxOq2aJtA=,YFcDBsztBazVnTEU+BvY+DWWgryWwG0jAxxOq2aJtA=,YFcDBsztBazVnTEU+BvY+DWWgryWwG0jAxxOq2aJtA=,,เฉยๆ,,0,2,2020-01-29,en
KE0WdVZG7qSopbaoTJVypZe61S916JIuOHPMEh9EEjg=,KE0WdVZG7qSopbaoTJVypZe61S916JIuOHPMEh9EEjg=,KE0WdVZG7qSopbaoTJVypZe61S916JIuOHPMEh9EEjg=,,,,0,2,2020-01-17,en
C1nMC7kAxdpGuNyUPokqNRzeMunzChGWSFwUBYYl8=,C1nMC7kAxdpGuNyUPokqNRzeMunzChGWSFwUBYYl8=,C1nMC7kAxdpGuNyUPokqNRzeMunzChGWSFwUBYYl8=,,,,0,2,2019-12-08,en
nGtVgS1Jw4BwlKXEFohpj5651UsAvfZRSTNOuJVX7H4=,nGtVgS1Jw4BwlKXEFohpj5651UsAvfZRSTNOuJVX7H4=,nGtVgS1Jw4BwlKXEFohpj5651UsAvfZRSTNOuJVX7H4=,,,,3,7,2020-01-07,en
KEUhQadU71lkugqS2HqaFOFFHc3eovYPYAoo1Mnk=,KEUhQadU71lkugqS2HqaFOFFHc3eovYPYAoo1Mnk=,KEUhQadU71lkugqS2HqaFOFFHc3eovYPYAoo1Mnk=,,,,0,55,2019-12-11,th
DccjHFT4KsXIZMANAsxJjY3gXYfjB3+vAdsmd6Q9QVU=,DccjHFT4KsXIZMANAsxJjY3gXYfjB3+vAdsmd6Q9QVU=,DccjHFT4KsXIZMANAsxJjY3gXYfjB3+vAdsmd6Q9QVU=,,,,3,21,2019-12-24,en
ywpPHakqrqbPiak9WhHNSRWmsGaGmyEruf5mvOay7Eo=,ywpPHakqrqbPiak9WhHNSRWmsGaGmyEruf5mvOay7Eo=,ywpPHakqrqbPiak9WhHNSRWmsGaGmyEruf5mvOay7Eo=,,,,0,6,2020-01-13,th
O3+LwR9GlGb5DabGtE7UyjkUwwvKoDMH0KabVmZeSA=,O3+LwR9GlGb5DabGtE7UyjkUwwvKoDMH0KabVmZeSA=,O3+LwR9GlGb5DabGtE7UyjkUwwvKoDMH0KabVmZeSA=,,Hi,,15,93,2019-12-03,th
4oEH157g9TTUd+8b8hHRNIPTN7CZmDkIs69Iec9BCEw=,4oEH157g9TTUd+8b8hHRNIPTN7CZmDkIs69Iec9BCEw=,4oEH157g9TTUd+8b8hHRNIPTN7CZmDkIs69Iec9BCEw=,,,,0,1,2020-01-15,en
4a8wiVD5hqHQ5rdquL707BNZOOTEE6t9p7Mu+1oJTs=,4a8wiVD5hqHQ5rdquL707BNZOOTEE6t9p7Mu+1oJTs=,4a8wiVD5hqHQ5rdquL707BNZOOTEE6t9p7Mu+1oJTs=,,,,2,24,2019-12-07,en
kACeOmoF88gdtldck9H4ExgsB0xhnCUZA5kxn9TLZc=,kACeOmoF88gdtldck9H4ExgsB0xhnCUZA5kxn9TLZc=,kACeOmoF88gdtldck9H4ExgsB0xhnCUZA5kxn9TLZc=,,,,4,15,2019-12-08,th
mFKs1iHJWsMz2PfS57HBK3e7VY9nF3SjuaF7aL3oE=,mFKs1iHJWsMz2PfS57HBK3e7VY9nF3SjuaF7aL3oE=,mFKs1iHJWsMz2PfS57HBK3e7VY9nF3SjuaF7aL3oE=,,หน้าคม นมจริง หญิงแท้,,5,55,2019-12-15,en
0uqcj33xY9WV7tnJrfqPL8ThzZ7wcWZedsjO2zdFg=,0uqcj33xY9WV7tnJrfqPL8ThzZ7wcWZedsjO2zdFg=,0uqcj33xY9WV7tnJrfqPL8ThzZ7wcWZedsjO2zdFg=,,,,1,6,2020-01-09,en
B2c65i99gt7FdoWK4b6XbYDkKffeSy76fvUTyTlN0Xs=,B2c65i99gt7FdoWK4b6XbYDkKffeSy76fvUTyTlN0Xs=,B2c65i99gt7FdoWK4b6XbYDkKffeSy76fvUTyTlN0Xs=,,,,0,0,2019-12-06,en
wCm8A0vnIHh+VD0FN5J8PXf4mdmYd9uwDg8GPddNU=,wCm8A0vnIHh+VD0FN5J8PXf4mdmYd9uwDg8GPddNU=,wCm8A0vnIHh+VD0FN5J8PXf4mdmYd9uwDg8GPddNU=,,,,0,3,2020-01-13,en
p880kYlATKJMLLnU5zDev8LGFMv6iyAJ2tPp6rP6FBI=,p880kYlATKJMLLnU5zDev8LGFMv6iyAJ2tPp6rP6FBI=,p880kYlATKJMLLnU5zDev8LGFMv6iyAJ2tPp6rP6FBI=,,,,7,95,2019-12-07,th
x+zcl1DOfPQ6o1d5enGO0hLI89FhJK6efDq1B0f5uS4=,x+zcl1DOfPQ6o1d5enGO0hLI89FhJK6efDq1B0f5uS4=,x+zcl1DOfPQ6o1d5enGO0hLI89FhJK6efDq1B0f5uS4=,,เป่ายางสิบล้อ,,0,5,2020-02-21,en
Ad7XFysbB7CqXLqQCVqu78lS10HkZtXZaNqIdF0=,Ad7XFysbB7CqXLqQCVqu78lS10HkZtXZaNqIdF0=,Ad7XFysbB7CqXLqQCVqu78lS10HkZtXZaNqIdF0=,,,,1,16,2019-11-12,en
ejXhEmc73vUyxsDMVwmz8bfrQd0mTE0jAMAFlzZZ6L0=,ejXhEmc73vUyxsDMVwmz8bfrQd0mTE0jAMAFlzZZ6L0=,ejXhEmc73vUyxsDMVwmz8bfrQd0mTE0jAMAFlzZZ6L0=,,,,12,99,2019-12-07,th
Q5yrbHpafT9HgrFOyoC2nW0LZo2WCt4eLdJgNATyrEU=,Q5yrbHpafT9HgrFOyoC2nW0LZo2WCt4eLdJgNATyrEU=,Q5yrbHpafT9HgrFOyoC2nW0LZo2WCt4eLdJgNATyrEU=,,,,1,26,2020-01-02,en
IEz9hKsNaraBpAitbEWnxKbrFI7dj2MTRBnjTUbHNxM=,IEz9hKsNaraBpAitbEWnxKbrFI7dj2MTRBnjTUbHNxM=,IEz9hKsNaraBpAitbEWnxKbrFI7dj2MTRBnjTUbHNxM=,,,,20,63,2020-01-08,en
PpfDgCy7xBcuoHIDy0R97SBPS9FzhDNXJ95H7uvf5I=,PpfDgCy7xBcuoHIDy0R97SBPS9FzhDNXJ95H7uvf5I=,PpfDgCy7xBcuoHIDy0R97SBPS9FzhDNXJ95H7uvf5I=,,,,1,4,2019-12-03,th
rmctqnHPt+FvwY97Lcf2NkxrcX4rgDfkOPmfOevwO8=,rmctqnHPt+FvwY97Lcf2NkxrcX4rgDfkOPmfOevwO8=,rmctqnHPt+FvwY97Lcf2NkxrcX4rgDfkOPmfOevwO8=,,,,0,4,2020-01-09,th
9de4npoSkXRNhSPRezl8rl+bOQOai7nKJRAiFTPyWw0=,9de4npoSkXRNhSPRezl8rl+bOQOai7nKJRAiFTPyWw0=,9de4npoSkXRNhSPRezl8rl+bOQOai7nKJRAiFTPyWw0=,,โอเครนะ,,0,12,2019-12-06,th
eNZ750fTv5v3spKqc1vssnI37EWW8e77B6r+A7f0Y+I=,eNZ750fTv5v3spKqc1vssnI37EWW8e77B6r+A7f0Y+I=,eNZ750fTv5v3spKqc1vssnI37EWW8e77B6r+A7f0Y+I=,,love you tomuch,,0,6,2020-01-04,en
JlGovjKKXCfLrFM3RMrPGACJjg3CAM7fYEA0OGJkWo=,JlGovjKKXCfLrFM3RMrPGACJjg3CAM7fYEA0OGJkWo=,JlGovjKKXCfLrFM3RMrPGACJjg3CAM7fYEA0OGJkWo=,,,,0,0,2019-12-09,en
qzlT6AjLRJmUjncHf2JEJAA1n9QFV1ZKV5uD91Xg=,qzlT6AjLRJmUjncHf2JEJAA1n9QFV1ZKV5uD91Xg=,qzlT6AjLRJmUjncHf2JEJAA1n9QFV1ZKV5uD91Xg=,,,,3,63,2019-12-07,th
KUk4Ug+I8w9cHmCo6xKSViqYrblBFRUwJiuNBAj7gE=,KUk4Ug+I8w9cHmCo6xKSViqYrblBFRUwJiuNBAj7gE=,KUk4Ug+I8w9cHmCo6xKSViqYrblBFRUwJiuNBAj7gE=,,popcorn,,0,8,2020-01-09,en
gdgDvB+wTEhabZOR5DwPqDGYxIYuxOx4y9htwUpR78=,gdgDvB+wTEhabZOR5DwPqDGYxIYuxOx4y9htwUpR78=,gdgDvB+wTEhabZOR5DwPqDGYxIYuxOx4y9htwUpR78=,,,,0,12,2020-01-14,en
LSW85JA1juFPgiuqe45lrgwNESzWZRQLjIh5ce8ddR0=,LSW85JA1juFPgiuqe45lrgwNESzWZRQLjIh5ce8ddR0=,LSW85JA1juFPgiuqe45lrgwNESzWZRQLjIh5ce8ddR0=,,,,0,2,2020-01-09,en
PUuiz2cXALWWOdajgf6iWt5QF8eYLnlwjrkPZQqbm8=,PUuiz2cXALWWOdajgf6iWt5QF8eYLnlwjrkPZQqbm8=,PUuiz2cXALWWOdajgf6iWt5QF8eYLnlwjrkPZQqbm8=,,*-*,,0,1,2020-01-14,en
fh27vA2YwJ4oYUZLrUI4BizmOryq69rnmq2msXqsc=,fh27vA2YwJ4oYUZLrUI4BizmOryq69rnmq2msXqsc=,fh27vA2YwJ4oYUZLrUI4BizmOryq69rnmq2msXqsc=,,Hi,,18,93,2019-12-03,th
NUaMjZryhC4ek9IOuboDQY0Xr5zAkBn6LyFDSpsbr6c=,NUaMjZryhC4ek9IOuboDQY0Xr5zAkBn6LyFDSpsbr6c=,NUaMjZryhC4ek9IOuboDQY0Xr5zAkBn6LyFDSpsbr6c=,,,,21,61,2020-01-08,en
LfkNqbSyE07WvY18ZYoNS2XhWTcI2Z6QhJCH+SQ7Fs=,LfkNqbSyE07WvY18ZYoNS2XhWTcI2Z6QhJCH+SQ7Fs=,LfkNqbSyE07WvY18ZYoNS2XhWTcI2Z6QhJCH+SQ7Fs=,"กรุงเทพมหานคร, ประเทศไทย",,,0,5,2020-02-21,en
kvRHkv9On+A8aJi2D8Ht87VVMldTAqHajGvy80DPn0k=,kvRHkv9On+A8aJi2D8Ht87VVMldTAqHajGvy80DPn0k=,kvRHkv9On+A8aJi2D8Ht87VVMldTAqHajGvy80DPn0k=,,เป็นคนใสใส,,1,2,2019-12-06,en
IRwucJX8dZCC0DM+nQ+HJWMYn7wLYKXLCDEuWjh4SU=,IRwucJX8dZCC0DM+nQ+HJWMYn7wLYKXLCDEuWjh4SU=,IRwucJX8dZCC0DM+nQ+HJWMYn7wLYKXLCDEuWjh4SU=,,,,0,3,2020-01-09,en
0ivzrGxX9xlLho3WBaaPURvfJauDMMW6V23LisGwXo=,0ivzrGxX9xlLho3WBaaPURvfJauDMMW6V23LisGwXo=,0ivzrGxX9xlLho3WBaaPURvfJauDMMW6V23LisGwXo=,,kaykai,,1,5,2019-12-08,en
dQ5V7VJsD3KBX5MHZPXvIefN1oLL3Br1iw+gFKpXnw=,dQ5V7VJsD3KBX5MHZPXvIefN1oLL3Br1iw+gFKpXnw=,dQ5V7VJsD3KBX5MHZPXvIefN1oLL3Br1iw+gFKpXnw=,,,,2,17,2020-01-09,th
CgFpN6PWt3aQyP+DRgNvDXrxYslRVo7ciASzS8geqg=,CgFpN6PWt3aQyP+DRgNvDXrxYslRVo7ciASzS8geqg=,CgFpN6PWt3aQyP+DRgNvDXrxYslRVo7ciASzS8geqg=,"จ.นครราชสีมา, ประเทศไทย",สวยใสไร้สิว,,2,12,2020-01-09,en
S2r8s0YyxzlWL0yeac96hMQZIPSIpxb7AtKTjyRrM=,S2r8s0YyxzlWL0yeac96hMQZIPSIpxb7AtKTjyRrM=,S2r8s0YyxzlWL0yeac96hMQZIPSIpxb7AtKTjyRrM=,,,,0,2,2020-01-13,en
64jqWi1mCNEG3rXt66gx8XqinNUGSJmZMeLulaaG2G4=,64jqWi1mCNEG3rXt66gx8XqinNUGSJmZMeLulaaG2G4=,64jqWi1mCNEG3rXt66gx8XqinNUGSJmZMeLulaaG2G4=,,illuminati,,0,8,2020-01-08,en
w8VEN6ukG6Hs77IXzDN2xwog6LPo17roojfhLRsNMG8=,w8VEN6ukG6Hs77IXzDN2xwog6LPo17roojfhLRsNMG8=,w8VEN6ukG6Hs77IXzDN2xwog6LPo17roojfhLRsNMG8=,,,,0,8,2019-12-06,en
CJDn8nFJKtCi0CfQrMxAcbIVNvliwrLaaBK6mYbmw=,CJDn8nFJKtCi0CfQrMxAcbIVNvliwrLaaBK6mYbmw=,CJDn8nFJKtCi0CfQrMxAcbIVNvliwrLaaBK6mYbmw=,,,,0,0,2020-01-15,en
7WWrFajYIOzkmjT89Yvayi8IOZVFUVqD0U0ql0rE=,7WWrFajYIOzkmjT89Yvayi8IOZVFUVqD0U0ql0rE=,7WWrFajYIOzkmjT89Yvayi8IOZVFUVqD0U0ql0rE=,,,,0,7,2020-01-28,en
4VOED2EwJ01302lNyXF5BfKTa4C5Ck6OupDzxv0N2A=,4VOED2EwJ01302lNyXF5BfKTa4C5Ck6OupDzxv0N2A=,4VOED2EwJ01302lNyXF5BfKTa4C5Ck6OupDzxv0N2A=,,เดาะบอลด้วยดากดำๆ,,0,8,2020-02-21,en
QOei4f4WD0cv7PLMIDcYvvX1fNTAoVYdf+XXI+pMCTA=,QOei4f4WD0cv7PLMIDcYvvX1fNTAoVYdf+XXI+pMCTA=,QOei4f4WD0cv7PLMIDcYvvX1fNTAoVYdf+XXI+pMCTA=,,,,1,59,2020-01-23,en
Nyw4DRHlMCI5mjjPrjMS76UI4FpXZG0zQupdzpp+YYs=,Nyw4DRHlMCI5mjjPrjMS76UI4FpXZG0zQupdzpp+YYs=,Nyw4DRHlMCI5mjjPrjMS76UI4FpXZG0zQupdzpp+YYs=,,ว่ายน้ำบนบกได้,,1,23,2019-12-15,th
4NXFOHRVhMBjMpji+wUqiNLRyzswsjF3N6whS+ly3r0=,4NXFOHRVhMBjMpji+wUqiNLRyzswsjF3N6whS+ly3r0=,4NXFOHRVhMBjMpji+wUqiNLRyzswsjF3N6whS+ly3r0=,,,,0,17,2019-12-07,th
VCTgJKFyUJ8XBJJMnLr8k6F8fSTYkhoYiUODsJa8=,VCTgJKFyUJ8XBJJMnLr8k6F8fSTYkhoYiUODsJa8=,VCTgJKFyUJ8XBJJMnLr8k6F8fSTYkhoYiUODsJa8=,,,,0,81,2020-01-21,en
f1X7uk5kCggfMIBJ7Shhdb75dkSplVjQSQ63Knmfs2Y=,f1X7uk5kCggfMIBJ7Shhdb75dkSplVjQSQ63Knmfs2Y=,f1X7uk5kCggfMIBJ7Shhdb75dkSplVjQSQ63Knmfs2Y=,,,,0,2,2020-01-09,en
2ttM66KKHdNMznS5WbbXPidWF14Utrt3HNM7e0VFVMo=,2ttM66KKHdNMznS5WbbXPidWF14Utrt3HNM7e0VFVMo=,2ttM66KKHdNMznS5WbbXPidWF14Utrt3HNM7e0VFVMo=,,,,0,9,2019-12-06,en
l1ioiWd4+MZeqrlzEvNL30mR++aCiM1RRbh7x0nX9A8=,l1ioiWd4+MZeqrlzEvNL30mR++aCiM1RRbh7x0nX9A8=,l1ioiWd4+MZeqrlzEvNL30mR++aCiM1RRbh7x0nX9A8=,,,,0,0,2019-12-08,en
HeAT12DJjwJt+7iz8QJSmxhYPLb+70s19MJvVCQVutw=,HeAT12DJjwJt+7iz8QJSmxhYPLb+70s19MJvVCQVutw=,HeAT12DJjwJt+7iz8QJSmxhYPLb+70s19MJvVCQVutw=,,สุดสวย,,0,7,2020-01-31,en
ax3KHO6QEkt0xgzb0x3QD0A36utSelgMNAGjGjQDoo=,ax3KHO6QEkt0xgzb0x3QD0A36utSelgMNAGjGjQDoo=,ax3KHO6QEkt0xgzb0x3QD0A36utSelgMNAGjGjQDoo=,,เคยโดนกวนประสาทจนโมโหมั้ย,,2,28,2019-12-04,th
NsLmZEl0WJfoq2+q94TU+5l4vCmsLAHuEqrV5onquc0=,NsLmZEl0WJfoq2+q94TU+5l4vCmsLAHuEqrV5onquc0=,NsLmZEl0WJfoq2+q94TU+5l4vCmsLAHuEqrV5onquc0=,,,,1,8,2020-01-09,en
6V1Ht9eSQVTsB4cfwEghonZ2ef54qYGPenp3uHkUjG0=,6V1Ht9eSQVTsB4cfwEghonZ2ef54qYGPenp3uHkUjG0=,6V1Ht9eSQVTsB4cfwEghonZ2ef54qYGPenp3uHkUjG0=,,,,0,3,2020-01-15,th
5l1tn0h0rOemYDeBX0fhQDzzPgORWXUx1i1ZPPidY+s=,5l1tn0h0rOemYDeBX0fhQDzzPgORWXUx1i1ZPPidY+s=,5l1tn0h0rOemYDeBX0fhQDzzPgORWXUx1i1ZPPidY+s=,,คนไทยแท้ๆ แม่คนไทย พ่อคนไทย รักประเทศไทย เคารพสิทธิของผู้อื่น,,0,7,2019-12-04,en
mCCDlC+rgheibgaTtSPyZ0DLJDg4ngJz0VfquAYWXqo=,mCCDlC+rgheibgaTtSPyZ0DLJDg4ngJz0VfquAYWXqo=,mCCDlC+rgheibgaTtSPyZ0DLJDg4ngJz0VfquAYWXqo=,,แล้วไง,,0,1,2020-01-09,th
GYxNITtcMy6Uc1J4o3uR16d7Xxj2dgYQU7NBDixyI=,GYxNITtcMy6Uc1J4o3uR16d7Xxj2dgYQU7NBDixyI=,GYxNITtcMy6Uc1J4o3uR16d7Xxj2dgYQU7NBDixyI=,,โสด,,4,12,2019-11-05,en
weW5rBizx1CBMSviHvY40foXMYtnt3zvJ5de5WA5w=,weW5rBizx1CBMSviHvY40foXMYtnt3zvJ5de5WA5w=,weW5rBizx1CBMSviHvY40foXMYtnt3zvJ5de5WA5w=,,ท้องฟ้า สายลม ธรรมชาติ คือตัวฉัน,,0,11,2020-01-09,th
CrR6C5e4u99Kydv5uuwn2fN+lAjdCnCk7w03Tkws3xA=,CrR6C5e4u99Kydv5uuwn2fN+lAjdCnCk7w03Tkws3xA=,CrR6C5e4u99Kydv5uuwn2fN+lAjdCnCk7w03Tkws3xA=,,,,1,23,2019-12-08,en
ClCmHl0WM58m4a1lw6gTE0LyVqwEhqm869oHbczn8I=,ClCmHl0WM58m4a1lw6gTE0LyVqwEhqm869oHbczn8I=,ClCmHl0WM58m4a1lw6gTE0LyVqwEhqm869oHbczn8I=,,,,1,3,2020-01-09,en
